image concentration x1 y1 x2 y2 x3 y3 x4 y4 rotation
IMG20250807165153 0 119.303406 1502.302246 454.514287 1502.782188 454.514287 1871.160482 119.506798 1865.524414 0.000000
IMG20250807165153 1 544.809143 1504.459229 874.561224 1501.825361 881.259011 1865.419521 555.495117 1866.512451 0.000000
IMG20250807165153 2 965.079773 1501.703979 1296.521815 1497.998054 1298.064087 1872.488647 970.454651 1867.824585 0.000000
IMG20250807165153 3 1388.957275 1501.531860 1713.698273 1501.825361 1711.784619 1863.505868 1390.088623 1864.053101 0.000000
IMG20250807165153 4 1803.917847 1499.617798 2130.874730 1501.825361 2131.831557 1865.419521 1806.222290 1866.160156 0.000000
IMG20250807165153 5 2217.772461 1500.463745 2534.655613 1504.695841 2534.655613 1865.419521 2220.766357 1861.575317 0.000000
IMG20250807165153 6 2623.046143 1502.834473 2939.393323 1503.739015 2938.436496 1859.678561 2631.395508 1859.446899 0.000000
IMG20250807165156 0 608.984597 1660.780674 818.073625 1644.186306 805.813232 1936.709229 596.123962 1944.422852 0.000000
IMG20250807165156 1 875.654663 1639.924438 1102.144409 1623.660034 1091.050967 1921.312240 866.197290 1931.268861 0.000000
IMG20250807165156 2 1164.243530 1611.591797 1407.790405 1595.615356 1401.365635 1906.377310 1156.598718 1916.333930 0.000000
IMG20250807165156 3 1473.578234 1582.818693 1740.085314 1564.383024 1733.252981 1893.931534 1467.743105 1903.888155 0.000000
IMG20250807165156 4 1812.076226 1553.747005 2098.946289 1532.119141 2096.669625 1873.188575 1810.416789 1885.634351 0.000000
IMG20250807165156 5 2180.968994 1525.560913 2494.104722 1500.645029 2484.148102 1855.764490 2173.003715 1871.529138 0.000000
IMG20250807165156 6 2577.076559 1494.007282 2921.409680 1461.648266 2913.942215 1839.999841 2572.098249 1852.445616 0.000000
IMG20250807165200 0 1552.834702 2800.361649 1906.657490 2802.011172 1884.269775 3148.823486 1529.549194 3142.253174 90.000000
IMG20250807165200 1 1586.649933 2402.001725 1922.327964 2404.476011 1912.430823 2718.710236 1560.257557 2719.534997 90.000000
IMG20250807165200 2 1616.341356 2037.457034 1937.998437 2035.807510 1926.451772 2328.597930 1593.248027 2327.773168 90.000000
IMG20250807165200 3 1645.133911 1699.157441 1957.602417 1702.044770 1944.596531 1967.352285 1622.114688 1965.702762 90.000000
IMG20250807165200 4 1667.752563 1385.182752 1970.988906 1386.720017 1959.442242 1636.622826 1649.019165 1635.284315 90.000000
IMG20250807165200 5 1693.240601 1100.091919 1985.009856 1102.177214 1975.112715 1330.636218 1674.074678 1328.161933 90.000000
IMG20250807165200 6 1716.493256 831.374165 1994.082235 834.954409 1986.659380 1045.268654 1699.642292 1045.268654 90.000000
IMG20250807165204 0 1545.346205 2964.169922 1908.475063 2967.533068 1907.519931 3294.188341 1551.255554 3297.053738 90.000000
IMG20250807165204 1 1538.904785 2550.989990 1897.013475 2549.185086 1903.699402 2879.660889 1544.569627 2882.526286 90.000000
IMG20250807165204 2 1531.472439 2139.479980 1888.417283 2137.523032 1894.148078 2467.998834 1535.973436 2469.909099 90.000000
IMG20250807165204 3 1525.466980 1731.591771 1882.686489 1729.681506 1889.372416 2052.516250 1530.242642 2060.157309 90.000000
IMG20250807165204 4 1521.646450 1327.570775 1877.910827 1320.884849 1884.596754 1647.540122 1526.422112 1653.270916 90.000000
IMG20250807165204 5 1516.870788 929.280574 1875.045430 925.460044 1878.865960 1243.519126 1521.646450 1251.160185 90.000000
IMG20250807165204 6 1516.781982 531.445007 1865.229004 525.357239 1872.180033 845.228924 1519.736186 853.825116 90.000000
IMG20250807165206 0 2588.696849 721.714257 2848.212072 736.266513 2878.125041 921.403541 2603.249105 910.085120 -90.000000
IMG20250807165206 1 2608.908315 964.251848 2886.350586 970.507996 2915.314139 1171.217259 2629.928240 1167.174966 -90.000000
IMG20250807165206 2 2633.970533 1222.958612 2922.590266 1225.383988 2954.076172 1450.078979 2655.798916 1444.476279 -90.000000
IMG20250807165206 3 2660.649668 1499.451466 2968.672409 1506.727594 3003.436130 1750.882102 2687.328803 1750.882102 -90.000000
IMG20250807165206 4 2693.796472 1812.324959 3012.329175 1813.133417 3050.326731 2081.541685 2721.284066 2087.200895 -90.000000
IMG20250807165206 5 2728.560194 2151.877586 3061.645152 2152.686045 3105.301918 2452.624199 2756.856246 2453.432658 -90.000000
IMG20250807165206 6 2760.898539 2531.853145 3119.045715 2526.193935 3164.319399 2859.278893 2798.087636 2864.938104 -90.000000
IMG20250807165210 0 2678.597889 342.563409 3034.821544 347.510960 3009.259198 686.418186 2658.593994 679.187988 -90.000000
IMG20250807165210 1 2654.684727 761.456040 3005.136239 768.052774 2979.885254 1080.174561 2645.614218 1078.923879 -90.000000
IMG20250807165210 2 2639.842075 1152.312549 2974.626343 1156.435508 2954.836140 1443.393451 2630.771566 1444.218043 -90.000000
IMG20250807165210 3 2624.999423 1511.834570 2949.063997 1515.132937 2929.273794 1779.826902 2615.928913 1779.002311 -90.000000
IMG20250807165210 4 2614.279730 1843.320470 2925.150835 1842.495879 2906.196289 2094.370850 2604.746826 2096.212402 -90.000000
IMG20250807165210 5 2599.437077 2150.068617 2901.237673 2152.542392 2883.921246 2385.077278 2591.191160 2384.252686 -90.000000
IMG20250807165210 6 2592.015751 2437.851152 2878.149103 2438.675744 2863.306451 2652.245018 2584.594425 2654.718794 -90.000000
IMG20250807165214 0 2767.285677 181.861462 3133.898391 181.861462 3138.187500 529.404175 2766.313229 522.218092 -90.000000
IMG20250807165214 1 2770.203020 608.765921 3139.733076 607.793474 3139.733076 941.342972 2774.993896 943.257690 -90.000000
IMG20250807165214 2 2774.092810 1028.863248 3143.622866 1026.918353 3146.540208 1363.385194 2777.010152 1367.274984 -90.000000
IMG20250807165214 3 2779.927495 1447.015680 3150.429998 1444.098338 3151.402446 1774.730493 2780.899942 1780.565178 -90.000000
IMG20250807165214 4 2783.817285 1859.333427 3150.429998 1856.416085 3148.485103 2186.075793 2786.734627 2189.965583 -90.000000
IMG20250807165214 5 2790.624417 2274.568517 3151.402446 2268.733832 3150.576660 2594.062012 2788.679522 2597.421092 -90.000000
IMG20250807165214 6 2790.624417 2676.189341 3153.347341 2672.299551 3157.560059 2996.828125 2797.969971 2998.208984 -90.000000
IMG20250807165216 0 2597.154056 801.493838 2850.642917 807.024504 2883.826913 973.866264 2622.963831 971.100931 -90.000000
IMG20250807165216 1 2629.416274 1019.033370 2895.810023 1016.268037 2933.602908 1200.623573 2655.226049 1201.545350 -90.000000
IMG20250807165216 2 2660.756715 1251.321345 2946.507796 1248.556012 2985.222458 1453.190656 2689.331823 1454.112434 -90.000000
IMG20250807165216 3 2700.393156 1508.497317 2999.970901 1507.575539 3043.294452 1734.332848 2731.733597 1740.785292 -90.000000
IMG20250807165216 4 2740.029596 1797.013730 3055.277562 1791.483064 3105.975334 2047.737259 2775.978925 2053.267925 -90.000000
IMG20250807165216 5 2787.040257 2120.557695 3118.880221 2110.418141 3172.343327 2397.090999 2830.363808 2407.230553 -90.000000
IMG20250807165216 6 2837.738030 2485.581656 3190.778880 2474.520324 3254.381540 2796.220733 2889.357580 2812.812732 -90.000000
IMG20250807165219 0 2685.134825 377.856275 3044.882749 375.436446 3023.104287 713.405908 2675.455508 713.405908 -90.000000
IMG20250807165219 1 2669.002631 796.486707 3016.651409 792.453658 2997.292777 1104.611610 2661.743144 1111.064488 -90.000000
IMG20250807165219 2 2656.096876 1182.852751 2992.453118 1178.819702 2973.094486 1464.359534 2647.564941 1470.254639 -90.000000
IMG20250807165219 3 2646.417559 1536.147797 2968.254828 1530.501529 2949.702805 1793.456289 2636.738243 1800.715777 -90.000000
IMG20250807165219 4 2635.931633 1859.598284 2946.476366 1854.758626 2927.924343 2098.354754 2628.289062 2103.904541 -90.000000
