image concentration x1 y1 x2 y2 x3 y3 x4 y4 rotation
IMG_2966 0 1464.724252 2798.058719 1465.223083 2496.985992 1801.919981 2494.044484 1808.197561 2797.161922 90.000000
IMG_2966 1 1465.621049 2424.094306 1459.842300 2118.985992 1803.713576 2107.524911 1806.403967 2419.610320 90.000000
IMG_2966 2 1458.446672 2046.542705 1455.358314 1731.121223 1800.126387 1727.282918 1804.610373 2037.574733 90.000000
IMG_2966 3 1457.549875 1667.197509 1453.564720 1362.089195 1793.848807 1359.596085 1800.126387 1664.507117 90.000000
IMG_2966 4 1455.756280 1295.026690 1445.448730 988.617996 1784.880835 986.528470 1792.055213 1292.336299 90.000000
IMG_2966 5 1444.994714 920.165480 1436.923540 617.048043 1776.809661 608.080071 1787.571227 918.371886 90.000000
IMG_2966 6 1432.848754 545.454643 1428.852366 262.813167 1765.151298 265.503559 1771.428878 540.820285 90.000000
IMG_2967 0 2094.028505 3967.300348 2094.735182 3540.780652 2571.722455 3536.613515 2580.615693 3966.029885 90.000000
IMG_2967 1 2097.832631 3436.250598 2089.646070 3004.013820 2576.797044 2987.777288 2580.608432 3429.898285 90.000000
IMG_2967 2 2088.935762 2902.652661 2084.560589 2455.805563 2572.982026 2450.367964 2579.334339 2889.948035 90.000000
IMG_2967 3 2086.398468 2363.980135 2080.752832 1931.743357 2562.821955 1928.211452 2571.715194 2360.168747 90.000000
IMG_2967 4 2083.857542 1839.271806 2069.255180 1405.192822 2550.117329 1402.232660 2560.281030 1835.460419 90.000000
IMG_2967 5 2069.878823 1308.218426 2058.444659 878.802056 2539.949997 866.097429 2555.195549 1305.677500 90.000000
IMG_2967 6 2053.938878 778.644905 2048.277328 378.236147 2524.700815 382.047535 2533.594054 772.079564 90.000000
IMG_2968 0 2111.746295 3436.250598 2103.559734 3004.013820 2590.710708 2987.777288 2594.522096 3429.898285 90.000000
IMG_2968 1 2102.882654 3964.770591 2103.589331 3538.250895 2580.576604 3534.083758 2589.469843 3963.500128 90.000000
IMG_2968 2 2092.730398 2902.652661 2088.355225 2455.805563 2576.776661 2450.367964 2583.128974 2889.948035 90.000000
IMG_2968 3 2099.047253 2365.245014 2093.401617 1933.008235 2575.470740 1929.476330 2584.363979 2361.433626 90.000000
IMG_2968 4 2091.446813 1839.271806 2076.844451 1405.192822 2557.706600 1402.232660 2567.870301 1835.460419 90.000000
IMG_2968 5 2076.203215 1305.688669 2064.769052 876.272299 2546.274390 863.567672 2561.519941 1303.147743 90.000000
IMG_2968 6 2060.263271 771.055634 2054.601720 370.646876 2531.025208 374.458264 2539.918446 764.490293 90.000000
IMG_2969 0 1488.855431 2425.882775 1483.076681 2120.774461 1826.947957 2109.313380 1829.638349 2421.398789 90.000000
IMG_2969 1 1487.965781 2799.850218 1488.464612 2498.777491 1825.161511 2495.835983 1831.439091 2798.953421 90.000000
IMG_2969 2 1482.574920 1669.878833 1478.589765 1364.770519 1817.532247 1360.270808 1819.321260 1664.402991 90.000000
IMG_2969 3 1483.483002 2048.330901 1480.394645 1732.909420 1822.899285 1728.807453 1826.477311 2040.095686 90.000000
IMG_2969 4 1479.893423 1298.603628 1469.585874 992.194933 1809.017979 990.105407 1816.192356 1295.913237 90.000000
IMG_2969 5 1468.238730 921.956707 1460.167556 618.839270 1795.169586 611.568936 1805.009157 916.595625 90.000000
