image concentration x1 y1 x2 y2 x3 y3 x4 y4 rotation
IMG20250924165408 0 296.000000 1695.000000 655.000000 1701.000000 654.000000 2096.000000 300.000000 2091.000000 0.000000
IMG20250924165408 1 724.000000 1705.000000 1083.000000 1705.000000 1083.000000 2103.000000 721.000000 2099.000000 0.000000
IMG20250924165408 2 1149.000000 1706.000000 1508.000000 1709.000000 1507.000000 2106.000000 1150.000000 2104.000000 0.000000
IMG20250924165408 3 1575.000000 1711.000000 1929.000000 1717.000000 1924.000000 2109.000000 1573.000000 2108.000000 0.000000
IMG20250924165408 4 1993.000000 1717.000000 2345.000000 1717.000000 2344.000000 2108.000000 1989.000000 2110.000000 0.000000
IMG20250924165408 5 2410.000000 1717.000000 2761.000000 1717.000000 2763.000000 2107.000000 2410.000000 2109.000000 0.000000
IMG20250924165408 6 2827.000000 1713.000000 3157.000000 1717.000000 3148.000000 2105.000000 2826.000000 2108.000000 0.000000
IMG20250924165411 0 301.000000 1695.000000 657.000000 1703.000000 654.000000 2101.000000 301.000000 2094.000000 0.000000
IMG20250924165411 1 726.000000 1707.000000 1084.000000 1707.000000 1084.000000 2104.000000 723.000000 2101.000000 0.000000
IMG20250924165411 2 1146.000000 1710.000000 1506.000000 1714.000000 1505.000000 2111.000000 1147.000000 2109.000000 0.000000
IMG20250924165411 3 1577.000000 1714.000000 1931.000000 1720.000000 1926.000000 2111.000000 1575.000000 2111.000000 0.000000
IMG20250924165411 4 1994.000000 1722.000000 2346.000000 1722.000000 2345.000000 2113.000000 1990.000000 2115.000000 0.000000
IMG20250924165411 5 2415.000000 1722.000000 2767.000000 1722.000000 2768.000000 2112.000000 2416.000000 2114.000000 0.000000
IMG20250924165411 6 2832.000000 1718.000000 3161.000000 1722.000000 3152.000000 2111.000000 2831.000000 2113.000000 0.000000
IMG20250924165414 0 303.000000 1694.000000 659.000000 1702.000000 657.000000 2099.000000 304.000000 2092.000000 0.000000
IMG20250924165414 1 731.000000 1706.000000 1089.000000 1706.000000 1089.000000 2104.000000 727.000000 2100.000000 0.000000
IMG20250924165414 2 1153.000000 1706.000000 1512.000000 1709.000000 1511.000000 2106.000000 1154.000000 2104.000000 0.000000
IMG20250924165414 3 1581.000000 1712.000000 1935.000000 1718.000000 1929.000000 2110.000000 1578.000000 2109.000000 0.000000
IMG20250924165414 4 1999.000000 1722.000000 2351.000000 1722.000000 2350.000000 2112.000000 1995.000000 2114.000000 0.000000
IMG20250924165414 5 2415.000000 1722.000000 2767.000000 1722.000000 2768.000000 2112.000000 2416.000000 2114.000000 0.000000
IMG20250924165414 6 2833.000000 1717.000000 3163.000000 1722.000000 3154.000000 2110.000000 2834.000000 2111.000000 0.000000
IMG20250924165419 0 315.000000 1691.000000 669.000000 1700.000000 667.000000 2097.000000 314.000000 2090.000000 0.000000
IMG20250924165419 1 737.000000 1707.000000 1095.000000 1707.000000 1095.000000 2104.000000 733.000000 2101.000000 0.000000
IMG20250924165419 2 1161.000000 1709.000000 1520.000000 1713.000000 1520.000000 2110.000000 1162.000000 2108.000000 0.000000
IMG20250924165419 3 1586.000000 1715.000000 1940.000000 1722.000000 1935.000000 2113.000000 1580.000000 2111.000000 0.000000
IMG20250924165419 4 2001.000000 1725.000000 2353.000000 1725.000000 2352.000000 2116.000000 1997.000000 2118.000000 0.000000
IMG20250924165419 5 2415.000000 1725.000000 2767.000000 1725.000000 2768.000000 2115.000000 2416.000000 2117.000000 0.000000
IMG20250924165419 6 2834.000000 1724.000000 3164.000000 1729.000000 3155.000000 2117.000000 2835.000000 2118.000000 0.000000
IMG20250924165422 0 316.000000 1694.000000 670.000000 1702.000000 667.000000 2100.000000 315.000000 2093.000000 0.000000
IMG20250924165422 1 736.000000 1709.000000 1094.000000 1709.000000 1094.000000 2107.000000 732.000000 2104.000000 0.000000
IMG20250924165422 2 1161.000000 1711.000000 1520.000000 1715.000000 1520.000000 2111.000000 1162.000000 2110.000000 0.000000
IMG20250924165422 3 1585.000000 1719.000000 1939.000000 1725.000000 1934.000000 2117.000000 1579.000000 2115.000000 0.000000
IMG20250924165422 4 2000.000000 1727.000000 2352.000000 1727.000000 2351.000000 2118.000000 1996.000000 2119.000000 0.000000
IMG20250924165422 5 2414.000000 1729.000000 2766.000000 1729.000000 2768.000000 2118.000000 2415.000000 2120.000000 0.000000
IMG20250924165422 6 2834.000000 1725.000000 3164.000000 1729.000000 3155.000000 2118.000000 2835.000000 2118.000000 0.000000
IMG20250924165424 0 317.000000 1704.000000 671.000000 1713.000000 668.000000 2111.000000 315.000000 2104.000000 0.000000
IMG20250924165424 1 739.000000 1720.000000 1097.000000 1720.000000 1097.000000 2118.000000 736.000000 2114.000000 0.000000
IMG20250924165424 2 1164.000000 1722.000000 1523.000000 1726.000000 1522.000000 2123.000000 1165.000000 2121.000000 0.000000
IMG20250924165424 3 1587.000000 1730.000000 1941.000000 1737.000000 1936.000000 2128.000000 1581.000000 2126.000000 0.000000
IMG20250924165424 4 2001.000000 1739.000000 2353.000000 1739.000000 2352.000000 2130.000000 1997.000000 2132.000000 0.000000
IMG20250924165424 5 2418.000000 1740.000000 2770.000000 1740.000000 2772.000000 2130.000000 2419.000000 2132.000000 0.000000
IMG20250924165424 6 2834.000000 1738.000000 3164.000000 1743.000000 3155.000000 2131.000000 2835.000000 2132.000000 0.000000
IMG20250924165426 0 317.000000 1704.000000 671.000000 1713.000000 668.000000 2111.000000 315.000000 2104.000000 0.000000
IMG20250924165426 1 739.000000 1720.000000 1097.000000 1720.000000 1097.000000 2118.000000 736.000000 2114.000000 0.000000
IMG20250924165426 2 1164.000000 1722.000000 1523.000000 1726.000000 1522.000000 2123.000000 1165.000000 2121.000000 0.000000
IMG20250924165426 3 1587.000000 1730.000000 1941.000000 1737.000000 1936.000000 2128.000000 1581.000000 2126.000000 0.000000
IMG20250924165426 4 2001.000000 1739.000000 2353.000000 1739.000000 2352.000000 2130.000000 1997.000000 2132.000000 0.000000
IMG20250924165426 5 2418.000000 1740.000000 2770.000000 1740.000000 2772.000000 2130.000000 2419.000000 2132.000000 0.000000
IMG20250924165426 6 2834.000000 1738.000000 3164.000000 1743.000000 3155.000000 2131.000000 2835.000000 2132.000000 0.000000
