image concentration x1 y1 x2 y2 x3 y3 x4 y4 rotation
20250924_165134 0 355.000000 2114.000000 820.000000 2125.000000 811.000000 2632.000000 354.000000 2623.000000 0.000000
20250924_165134 1 906.000000 2128.000000 1364.000000 2136.000000 1356.000000 2643.000000 897.000000 2632.000000 0.000000
20250924_165134 2 1444.000000 2145.000000 1900.000000 2152.000000 1897.000000 2652.000000 1442.000000 2644.000000 0.000000
20250924_165134 3 1983.000000 2159.000000 2429.000000 2166.000000 2422.000000 2662.000000 1976.000000 2657.000000 0.000000
20250924_165134 4 2510.000000 2166.000000 2958.000000 2166.000000 2949.000000 2666.000000 2501.000000 2664.000000 0.000000
20250924_165134 5 3041.000000 2171.000000 3489.000000 2171.000000 3485.000000 2667.000000 3033.000000 2665.000000 0.000000
20250924_165134 6 3574.000000 2175.000000 4005.000000 2178.000000 3982.000000 2674.000000 3565.000000 2673.000000 0.000000
20250924_165136 0 356.000000 2109.000000 821.000000 2121.000000 812.000000 2627.000000 355.000000 2618.000000 0.000000
20250924_165136 1 904.000000 2127.000000 1362.000000 2135.000000 1354.000000 2642.000000 895.000000 2630.000000 0.000000
20250924_165136 2 1444.000000 2142.000000 1900.000000 2149.000000 1897.000000 2648.000000 1442.000000 2640.000000 0.000000
20250924_165136 3 1983.000000 2152.000000 2429.000000 2160.000000 2422.000000 2655.000000 1976.000000 2651.000000 0.000000
20250924_165136 4 2510.000000 2166.000000 2958.000000 2166.000000 2949.000000 2666.000000 2501.000000 2664.000000 0.000000
20250924_165136 5 3047.000000 2168.000000 3495.000000 2168.000000 3490.000000 2664.000000 3039.000000 2662.000000 0.000000
20250924_165136 6 3574.000000 2171.000000 4000.000000 2172.000000 3980.000000 2666.000000 3563.000000 2665.000000 0.000000
20250924_165139 0 355.000000 2103.000000 820.000000 2114.000000 811.000000 2620.000000 354.000000 2611.000000 0.000000
20250924_165139 1 904.000000 2121.000000 1362.000000 2128.000000 1354.000000 2635.000000 895.000000 2624.000000 0.000000
20250924_165139 2 1441.000000 2136.000000 1898.000000 2143.000000 1895.000000 2643.000000 1440.000000 2635.000000 0.000000
20250924_165139 3 1986.000000 2145.000000 2429.000000 2160.000000 2422.000000 2655.000000 1976.000000 2651.000000 0.000000
20250924_165139 4 2509.000000 2162.000000 2957.000000 2162.000000 2948.000000 2662.000000 2500.000000 2659.000000 0.000000
20250924_165139 5 3045.000000 2163.000000 3492.000000 2163.000000 3488.000000 2659.000000 3036.000000 2657.000000 0.000000
20250924_165139 6 3574.000000 2171.000000 4000.000000 2172.000000 3980.000000 2666.000000 3563.000000 2665.000000 0.000000
20250924_165143 0 358.000000 2094.000000 823.000000 2105.000000 814.000000 2611.000000 357.000000 2602.000000 0.000000
20250924_165143 1 907.000000 2115.000000 1365.000000 2123.000000 1357.000000 2629.000000 898.000000 2618.000000 0.000000
20250924_165143 2 1446.000000 2127.000000 1902.000000 2134.000000 1900.000000 2634.000000 1445.000000 2626.000000 0.000000
20250924_165143 3 1989.000000 2134.000000 2432.000000 2149.000000 2425.000000 2644.000000 1979.000000 2639.000000 0.000000
20250924_165143 4 2509.000000 2151.000000 2957.000000 2151.000000 2948.000000 2651.000000 2500.000000 2648.000000 0.000000
20250924_165143 5 3048.000000 2157.000000 3496.000000 2157.000000 3491.000000 2654.000000 3040.000000 2652.000000 0.000000
20250924_165143 6 3580.000000 2156.000000 4006.000000 2158.000000 3985.000000 2652.000000 3568.000000 2651.000000 0.000000
20250924_165145 0 358.000000 2095.000000 823.000000 2106.000000 814.000000 2613.000000 357.000000 2604.000000 0.000000
20250924_165145 1 907.000000 2115.000000 1365.000000 2123.000000 1357.000000 2629.000000 898.000000 2618.000000 0.000000
20250924_165145 2 1448.000000 2132.000000 1905.000000 2138.000000 1902.000000 2638.000000 1447.000000 2630.000000 0.000000
20250924_165145 3 1989.000000 2136.000000 2432.000000 2151.000000 2425.000000 2646.000000 1979.000000 2642.000000 0.000000
20250924_165145 4 2509.000000 2151.000000 2963.000000 2153.000000 2948.000000 2651.000000 2500.000000 2648.000000 0.000000
20250924_165145 5 3048.000000 2157.000000 3496.000000 2157.000000 3491.000000 2654.000000 3040.000000 2652.000000 0.000000
20250924_165145 6 3581.000000 2158.000000 4007.000000 2159.000000 3987.000000 2653.000000 3570.000000 2652.000000 0.000000
20250924_165148 0 362.000000 2084.000000 826.000000 2095.000000 818.000000 2601.000000 360.000000 2592.000000 0.000000
20250924_165148 1 914.000000 2099.000000 1372.000000 2107.000000 1364.000000 2614.000000 905.000000 2602.000000 0.000000
20250924_165148 2 1450.000000 2116.000000 1907.000000 2123.000000 1904.000000 2623.000000 1449.000000 2615.000000 0.000000
20250924_165148 3 1990.000000 2123.000000 2433.000000 2137.000000 2426.000000 2633.000000 1980.000000 2628.000000 0.000000
20250924_165148 4 2519.000000 2137.000000 2973.000000 2140.000000 2958.000000 2637.000000 2510.000000 2635.000000 0.000000
20250924_165148 5 3056.000000 2144.000000 3504.000000 2144.000000 3499.000000 2640.000000 3048.000000 2638.000000 0.000000
20250924_165148 6 3587.000000 2139.000000 4010.000000 2144.000000 3990.000000 2638.000000 3573.000000 2637.000000 0.000000
20250924_165149 0 364.000000 2067.000000 829.000000 2078.000000 820.000000 2577.000000 363.000000 2568.000000 0.000000
20250924_165149 1 921.000000 2088.000000 1379.000000 2096.000000 1371.000000 2594.000000 911.000000 2583.000000 0.000000
20250924_165149 2 1457.000000 2090.000000 1914.000000 2097.000000 1911.000000 2604.000000 1449.000000 2595.000000 0.000000
20250924_165149 3 1999.000000 2103.000000 2442.000000 2117.000000 2433.000000 2618.000000 1990.000000 2609.000000 0.000000
20250924_165149 4 2527.000000 2121.000000 2980.000000 2124.000000 2966.000000 2613.000000 2518.000000 2611.000000 0.000000
20250924_165149 5 3061.000000 2122.000000 3509.000000 2122.000000 3499.000000 2623.000000 3049.000000 2621.000000 0.000000
20250924_165149 6 3593.000000 2127.000000 4014.000000 2134.000000 3999.000000 2630.000000 3582.000000 2629.000000 0.000000
