image concentration replicate x y semiMajorAxis semiMinorAxis rotationAngle
IMG_0957 0 0 2007.000000 2530.000000 23.353067 21.466238 -132.413034
IMG_0957 0 1 1979.000000 2465.000000 23.348066 21.187149 -94.728010
IMG_0957 0 2 2006.000000 2398.000000 23.344842 21.758594 -50.087586
IMG_0957 1 0 1998.000000 2165.000000 21.718483 20.660121 -139.757317
IMG_0957 1 1 1968.000000 2099.000000 21.361280 20.464348 -92.234099
IMG_0957 1 2 1994.000000 2035.000000 21.552099 19.572504 -41.949424
IMG_0957 2 0 1984.000000 1808.000000 21.634901 20.370418 -136.504536
IMG_0957 2 1 1955.000000 1743.000000 21.218821 20.630492 -92.340611
IMG_0957 2 2 1982.000000 1678.000000 21.184075 20.251904 -42.281236
IMG_0957 3 0 1972.000000 1454.000000 22.082695 20.717459 -141.918676
IMG_0957 3 1 1940.000000 1390.000000 21.635440 20.150710 -89.390703
IMG_0957 3 2 1968.000000 1328.000000 21.030313 19.769729 -39.783742
IMG_0957 4 0 1957.000000 1108.000000 22.041896 20.777659 -141.412120
IMG_0957 4 1 1926.000000 1045.000000 21.859357 20.020531 -90.355988
IMG_0957 4 2 1952.000000 980.000000 21.353247 20.182771 -42.608254
IMG_0957 5 0 1941.000000 752.000000 22.514814 21.282155 -140.689348
IMG_0957 5 1 1910.000000 688.000000 22.311190 20.328323 -95.455573
IMG_0957 5 2 1937.000000 622.000000 22.905765 20.284847 -40.425334
IMG_0957 6 0 1923.000000 393.000000 22.057886 20.996785 -143.464403
IMG_0957 6 1 1892.000000 331.000000 22.149562 19.597195 -91.458791
IMG_0957 6 2 1918.000000 270.000000 20.716685 19.227249 -48.892758
IMG_0958 0 0 2011.000000 2528.000000 23.353067 21.466238 -132.413034
IMG_0958 0 1 1981.000000 2463.000000 23.348066 21.187149 -94.728010
IMG_0958 0 2 2008.000000 2396.000000 23.344842 21.758594 -50.087586
IMG_0958 1 0 1999.000000 2164.000000 21.718483 20.660121 -139.757317
IMG_0958 1 1 1970.000000 2098.000000 21.361280 20.464348 -92.234099
IMG_0958 1 2 1996.000000 2033.000000 21.552099 19.572504 -41.949424
IMG_0958 2 0 1987.000000 1806.000000 21.634901 20.370418 -136.504536
IMG_0958 2 1 1957.000000 1741.000000 21.218821 20.630492 -92.340611
IMG_0958 2 2 1984.000000 1676.000000 21.184075 20.251904 -42.281236
IMG_0958 3 0 1972.000000 1454.000000 22.082695 20.717459 -141.918676
IMG_0958 3 1 1942.000000 1389.000000 21.635440 20.150710 -89.390703
IMG_0958 3 2 1969.000000 1326.000000 21.030313 19.769729 -39.783742
IMG_0958 4 0 1958.000000 1106.000000 22.041896 20.777659 -141.412120
IMG_0958 4 1 1928.000000 1043.000000 21.859357 20.020531 -90.355988
IMG_0958 4 2 1953.000000 977.000000 21.353247 20.182771 -42.608254
IMG_0958 5 0 1943.000000 749.000000 22.514814 20.800307 -140.689348
IMG_0958 5 1 1912.000000 685.000000 21.867424 20.246820 -95.455573
IMG_0958 5 2 1938.000000 618.000000 22.905765 21.151994 -52.991179
IMG_0958 6 0 1925.000000 389.000000 22.057886 20.588826 -143.464403
IMG_0958 6 1 1893.000000 327.000000 22.149562 19.597195 -91.458791
IMG_0958 6 2 1920.000000 267.000000 21.507818 18.926426 -53.826067
