epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.341,0.75217,2.4977,0.68884,0.92993,0.95449,0.99529,0.99876,0.99462,0.89519,0.97527,0.97792,0.96679,0.75176,0.448,1.02394,0.0714,0.33895,0.78286,0.0674853,0.000328431,0.000328431
2,118.655,0.46437,0.4385,0.40195,0.32847,0.831,0.99798,0.9998,0.99495,0.9325,0.98782,0.9892,0.98142,0.96254,0.36228,0.32431,0.07107,0.27552,0.76014,0.0344853,0.000661724,0.000661724
3,147.364,0.42367,0.30773,0.30719,0.30039,0.82662,0.98431,0.99705,0.99293,0.93232,0.97557,0.98819,0.98396,0.95733,0.33371,0.25737,0.03246,0.26874,0.75398,0.00148505,0.000994855,0.000994855
4,175.742,0.42209,0.29387,0.20453,0.29797,0.82491,0.99523,0.99961,0.99459,0.9356,0.97759,0.9819,0.97079,0.95651,0.35932,0.27982,0.01823,0.25782,0.75809,0.00099945,0.00099945,0.00099945
5,204.173,0.41675,0.25967,0.14684,0.29129,0.82281,0.99955,1,0.995,0.94814,0.98598,0.98642,0.98004,0.97476,0.31746,0.19071,0.00973,0.22003,0.74836,0.000999023,0.000999023,0.000999023
6,232.814,0.39102,0.20707,0.11107,0.27424,0.81872,0.99914,0.99606,0.995,0.9429,0.99223,0.98918,0.99003,0.98659,0.34605,0.11888,0.00854,0.22774,0.75731,0.000998474,0.000998474,0.000998474
7,261.419,0.36795,0.2088,0.08946,0.26287,0.81105,0.99849,0.9998,0.99499,0.96109,0.99062,0.99193,0.9887,0.98385,0.28855,0.14922,0.00522,0.21156,0.74509,0.000997803,0.000997803,0.000997803
8,289.919,0.36597,0.20432,0.08425,0.26108,0.81102,0.99911,0.9998,0.99499,0.96439,0.99341,0.9941,0.98979,0.98688,0.28573,0.09821,0.00445,0.19669,0.74448,0.000997011,0.000997011,0.000997011
9,318.291,0.36192,0.1857,0.07853,0.25636,0.81065,0.99815,1,0.99499,0.96598,0.9899,0.99174,0.98744,0.98402,0.2727,0.12009,0.00449,0.19588,0.74235,0.000996097,0.000996097,0.000996097
10,346.85,0.35564,0.1808,0.06327,0.2503,0.81006,0.9991,0.9998,0.995,0.96409,0.99241,0.99311,0.9887,0.985,0.27415,0.10234,0.00297,0.18848,0.74321,0.000995062,0.000995062,0.000995062
11,375.364,0.34288,0.17229,0.05819,0.24454,0.80575,0.99978,1,0.995,0.9624,0.98955,0.98977,0.98555,0.9827,0.29222,0.11547,0.00286,0.19675,0.74484,0.000993906,0.000993906,0.000993906
12,404.058,0.34431,0.16703,0.0549,0.2462,0.80766,0.99603,1,0.99467,0.96445,0.98153,0.98544,0.9734,0.96998,0.27269,0.20866,0.0029,0.18799,0.74204,0.000992629,0.000992629,0.000992629
13,432.65,0.33421,0.16323,0.05704,0.24119,0.80632,0.99978,1,0.995,0.96986,0.99467,0.99488,0.99003,0.98789,0.26238,0.09458,0.00226,0.18531,0.7423,0.000991232,0.000991232,0.000991232
14,461.301,0.33614,0.14942,0.05324,0.24004,0.80489,0.99859,1,0.99499,0.96878,0.9919,0.99331,0.98873,0.98569,0.24964,0.09132,0.00206,0.18144,0.73982,0.000989715,0.000989715,0.000989715
15,489.992,0.32864,0.13682,0.04761,0.23425,0.80528,0.99958,1,0.995,0.97436,0.99093,0.99134,0.98661,0.98431,0.24843,0.11058,0.00195,0.17815,0.73868,0.000988079,0.000988079,0.000988079
16,518.735,0.33091,0.13683,0.04938,0.23415,0.80217,0.99847,1,0.99497,0.97393,0.99002,0.99154,0.98729,0.98535,0.24477,0.10044,0.0017,0.17824,0.73736,0.000986323,0.000986323,0.000986323
17,547.605,0.31726,0.16444,0.04531,0.22667,0.80068,0.99951,0.9998,0.995,0.97393,0.99243,0.99272,0.99113,0.98838,0.2603,0.10306,0.00198,0.17524,0.7411,0.000984449,0.000984449,0.000984449
18,576.443,0.3159,0.13024,0.04111,0.22595,0.7982,0.9991,1,0.99497,0.97355,0.99203,0.99292,0.9888,0.98718,0.24287,0.09462,0.00154,0.17208,0.73834,0.000982456,0.000982456,0.000982456
